id_day,day,id_teacher,id_space,name,id_building,id_headquarters,building_name,id_university_subject,full_name,semesters,university_subject_code,entry_time,departure_time,group,hours,id_authorization_program,id_program,program_code,program_full_name,id_university_period,id_day_time_slot,id_time_slot
1,Monday,T010,6,Salon 6,2,1,Sede Villa Campestre,944,Sexualidad Humana,5,801042M,18:20:00,21:20:00,51,3,29,8,2724,Tecnología en Desarrollo de Software,6,8,8
4,Thursday,T008,4,Salon 4,2,1,Sede Villa Campestre,134,Seminario de Proyecto de Grado,8,750097M,08:00:00,09:00:00,51,1,3,1,3743,Ingeniería de Sistemas,5,25,1
3,Wednesday,T006,23,Sala De Sistemas 1	,3,1,Sede Principe,797,Taller Tecnológico I,1,701006C,18:20:00,21:20:00,51,3,29,8,2724,Tecnología en Desarrollo de Software,6,24,8
3,Wednesday,T027,1,Salon 1,2,1,Sede Villa Campestre,849,Sistematización de Experiencias ,7,207089M,10:00:00,13:00:00,50,3,6,5,3249,Trabajo social,9,18,2
5,Friday,T100,23,Sala De Sistemas 1	,3,1,Sede Principe,554,Fundamentos de redes,4,750010C,10:00:00,13:00:00,50,3,14,8,2724,Tecnología en Desarrollo de Software,10,34,2
2,Tuesday,T048,24,Sala De Sistemas 2,3,1,Sede Principe,845,Bases de Datos ,4,750006C,18:20:00,22:20:00,51,4,29,8,2724,Tecnología en Desarrollo de Software,9,16,8
3,Wednesday,T016,16,salon 9,3,1,Sede Principe,83,Inglés con fines generales y académicos III,3,204027C,10:00:00,12:00:00,52,2,2,1,3743,Ingeniería de Sistemas,5,18,2
2,Tuesday,T121,19,salon 12,3,1,Sede Principe,974,Inglés con fines generales y académicos I,3,204025C,14:00:00,18:00:00,50,4,20,11,3643,Nutricion y dietetica,6,13,5
4,Thursday,T058,3,Salon 3,2,1,Sede Villa Campestre,250,Individuo Y Familia I,3,207011M,08:00:00,12:00:00,51,4,6,5,3249,Trabajo social,9,25,1
4,Thursday,T033,12,salon 5,3,1,Sede Principe,390,Proceso administrativo,3,801043C,07:00:00,10:00:00,51,3,18,6,3841,Contaduría Publica,9,25,1
3,Wednesday,T061,26,Laboratorio de Alimentos,2,1,Sede Villa Campestre,1145,proyecto de ingeniería I,9,745015C,14:00:00,18:00:00,51,4,7,3,3753,Ingeniería de Alimentos,8,21,5
1,Monday,T032,7,Sala De Sistemas 1,2,1,Sede Villa Campestre,209,Programación e Internet,5,801176M,15:00:00,18:00:00,50,3,25,2,3845,Administracion de empresas,3,6,6
3,Wednesday,T041,16,salon 9,3,1,Sede Principe,78,Herramientas para hablar en público,2,405126M,15:00:00,18:00:00,50,3,2,1,3743,Ingeniería de Sistemas,6,22,6
1,Monday,T139,3,Salon 3,2,1,Sede Villa Campestre,507,Trabajo Social Laboral,9,207039M,07:00:00,10:00:00,50,3,6,5,3249,Trabajo social,4,1,1
2,Tuesday,T070,16,salon 9,3,1,Sede Principe,915,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS ACADÉMICOS GENERALES,2,204133C,15:00:00,18:00:00,53,3,7,3,3753,Ingeniería de Alimentos,7,14,6
3,Wednesday,T045,6,Salon 6,2,1,Sede Villa Campestre,1281,Electiva profesional III Criptoactivos y modelos de negocio en la era digital,9,802080C,18:20:00,21:20:00,50,3,23,2,3845,Administracion de empresas,10,23,7
3,Wednesday,T057,15,Sala de Sistemas 4,3,1,Sede Principe,64,Inserción a la Vida Universitaria,1,701001C,16:00:00,18:00:00,52,2,2,1,3743,Ingeniería de Sistemas,8,22,6
2,Tuesday,T094,23,Sala De Sistemas 1	,3,1,Sede Principe,74,Fundamentos de  Programación Orientada a Objetos,2,750015C,07:00:00,10:00:00,53,3,2,1,3743,Ingeniería de Sistemas,6,9,1
1,Monday,T170,10,Sala de Sistemas 3,3,1,Sede Principe,754,Laboratorio contable financiero,8,802025M,15:00:00,18:00:00,50,3,28,6,3841,Contaduría Publica,6,6,6
1,Monday,T057,14,salon 7,3,1,Sede Principe,855,Inserción a la Vida Universitaria,1,701001C,20:20:00,22:20:00,50,2,30,12,2725,Tecnologia en Electronica Industrial,5,8,8
3,Wednesday,T113,11,salon 4,3,1,Sede Principe,786,Algebra Lineal,2,111038C,10:00:00,12:00:00,50,2,2,1,3743,Ingeniería de Sistemas,5,19,3
4,Thursday,T058,6,Salon 6,2,1,Sede Villa Campestre,499,Individuo y Familia II,4,207012M,08:00:00,12:00:00,50,4,6,5,3249,Trabajo social,6,25,1
1,Monday,T016,12,salon 5,3,1,Sede Principe,843,Inglés con fines generales y académicos II,4,204026C,18:20:00,22:20:00,50,4,29,8,2724,Tecnología en Desarrollo de Software,9,8,8
5,Friday,T075,18,salon 11,3,1,Sede Principe,317,Taller de Representacion II,2,501003C,07:00:00,13:00:00,50,6,5,4,3554,Construccion,3,33,1
3,Wednesday,T032,7,Sala De Sistemas 1,2,1,Sede Villa Campestre,716,Taller Habilidades y herramientas informáticas para la gestión (Científico tecnológico) - grupo dividido ,1,801044C,18:20:00,21:20:00,51,3,23,2,3845,Administracion de empresas,10,23,7
5,Friday,T189,21,salon 14,3,1,Sede Principe,870,Biología Celular,2,605014C,14:00:00,18:00:00,50,4,20,11,3643,Nutricion y dietetica,7,37,5
3,Wednesday,T023,8,salon 1,3,1,Sede Principe,446,Circuitos integrados ,4,710198M,18:20:00,22:20:00,50,4,13,9,2710,Tecnología en Electronica,3,24,8
2,Tuesday,T185,16,salon 9,3,1,Sede Principe,789,Algebra Lineal,2,111038C,07:00:00,10:00:00,50,3,14,8,2724,Tecnología en Desarrollo de Software,10,9,1
4,Thursday,T196,7,Sala De Sistemas 1,2,1,Sede Villa Campestre,1141,PROYECTO INTEGRADOR II,8,750037C,14:00:00,18:00:00,50,4,2,1,3743,Ingeniería de Sistemas,8,29,5
3,Wednesday,T003,15,Sala de Sistemas 4,3,1,Sede Principe,468,Álgebra Lineal,2,111015C,18:20:00,21:20:00,50,3,29,8,2724,Tecnología en Desarrollo de Software,3,23,7
1,Monday,T016,17,salon 10,3,1,Sede Principe,70,Inglés con fines generales y académicos I,1,204025C,07:00:00,11:00:00,51,4,2,1,3743,Ingeniería de Sistemas,5,1,1
3,Wednesday,T034,10,Sala de Sistemas 3,3,1,Sede Principe,295,Informática I,2,750002C,09:00:00,12:00:00,50,3,7,3,3753,Ingeniería de Alimentos,5,19,3
2,Tuesday,T028,17,salon 10,3,1,Sede Principe,400,Lectura de textos contables inglés III,5,204151M,07:00:00,10:00:00,50,3,28,6,3841,Contaduría Publica,3,9,1
1,Monday,T134,16,salon 9,3,1,Sede Principe,619,Electiva Complementaria II: Taller de Apreciación teatral ,3,504037C,09:00:00,12:00:00,50,3,7,3,3753,Ingeniería de Alimentos,4,3,3
1,Monday,T016,15,Sala de Sistemas 4,3,1,Sede Principe,70,Inglés con fines generales y académicos I,1,204025C,07:00:00,11:00:00,50,4,2,1,3743,Ingeniería de Sistemas,7,1,1
4,Thursday,T026,8,salon 1,3,1,Sede Principe,746,Estadística II para las ciencias de la administración,4,801104C,10:00:00,13:00:00,50,3,18,6,3841,Contaduría Publica,10,26,2
1,Monday,T055,1,Salon 1,2,1,Sede Villa Campestre,219,Procesos de Fabricación de Bienes y Servicios,7,801183M,07:00:00,10:00:00,50,3,25,2,3845,Administracion de empresas,5,1,1
2,Tuesday,T009,25,Coliseo,2,1,Sede Villa Campestre,63,DEPORTE Y SALUD,1,404002C,07:00:00,10:00:00,50,3,2,1,3743,Ingeniería de Sistemas,3,9,1
1,Monday,T118,2,Salon 2,2,1,Sede Villa Campestre,1050,"Principios de Nutrición , Alimentación, Salud",4,605010C,10:00:00,13:00:00,51,3,20,11,3643,Nutricion y dietetica,7,2,2
5,Friday,T156,15,Sala de Sistemas 4,3,1,Sede Principe,389,Estadística I para las ciencias de la administración,3,801083C,15:00:00,18:00:00,50,3,18,6,3841,Contaduría Publica,7,38,6
2,Tuesday,T041,3,Salon 3,2,1,Sede Villa Campestre,937,COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS ACADÉMICOS GENERALES,2,204133C,15:00:00,18:00:00,50,3,14,8,2724,Tecnología en Desarrollo de Software,10,14,6
2,Tuesday,T084,17,salon 10,3,1,Sede Principe,1179,Gestión de Proyectos,8,801183C,10:00:00,13:00:00,50,3,19,2,3845,Administracion de empresas,8,10,2
5,Friday,T219,2,Salon 2,2,1,Sede Villa Campestre,276,Pedagogía Social,8,207066M,10:00:00,13:00:00,50,3,6,5,3249,Trabajo social,9,34,2
